LineId,Content,EventId,EventTemplate,ParameterList
13,"INFO client.TransportClientFactory : Found inactive connection to mesos-slave-08/10.10.34.18 : 55867 , creating a new one.",4b899ac3,"INFO client.TransportClientFactory : Found inactive connection to mesos-slave-08/10.10.34.18 : 55867 , creating a new one.",[]
14,at org.apache.spark.network.shuffle.RetryingBlockFetcher$1.run ( RetryingBlockFetcher.java : 170 ),03b69f6b,at <*> ( <*> : <*> ),"['org.apache.spark.network.shuffle.RetryingBlockFetcher$1.run', 'RetryingBlockFetcher.java', '170']"
15,at java.lang.Thread.run ( Thread.java : 745 ),03b69f6b,at <*> ( <*> : <*> ),"['java.lang.Thread.run', 'Thread.java', '745']"
16,java.net.ConnectException : Connection refused : mesos-slave-08/10.10.34.18 : 55867,2907189f,java.net.ConnectException : Connection refused : mesos-slave-08/10.10.34.18 : 55867,[]
17,at sun.nio.ch.SocketChannelImpl.finishConnect ( SocketChannelImpl.java : 744 ),03b69f6b,at <*> ( <*> : <*> ),"['sun.nio.ch.SocketChannelImpl.finishConnect', 'SocketChannelImpl.java', '744']"
18,"INFO spark.CacheManager : Partition rdd_6_27 not found , computing it",d6733a81,"INFO spark.CacheManager : Partition <*> not found , computing it",['rdd_6_27']
19,INFO rdd.HadoopRDD : Input split : hdfs : //10.10.34.11 : 9000/pjhe/logs/2kProxifier.log : 165672+6136,02aa487b,INFO rdd.HadoopRDD : Input split : hdfs : //10.10.34.11 : 9000/pjhe/logs/2kProxifier.log : 165672+6136,[]
20,"INFO spark.CacheManager : Partition rdd_6_28 not found , computing it",d6733a81,"INFO spark.CacheManager : Partition <*> not found , computing it",['rdd_6_28']
21,"INFO python.PythonRunner : Times : total = 51 , boot = -12 , init = 62 , finish = 1",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['51', '-12', '62', '1']"
22,"INFO storage.MemoryStore : Block rdd_6_26 stored as bytes in memory ( estimated size 1077.0 B , free 434.6 KB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['rdd_6_26', 'bytes', '1077.0 B', '434.6 KB']"
23,INFO executor.Executor : Running task 29.0 in stage 12.0 ( TID 509 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['29.0', '12.0', '509']"
24,INFO mapred.SparkHadoopMapRedUtil : attempt_201706101511_0244_m_000017_4897 : Committed,04bf5c3e,INFO mapred.SparkHadoopMapRedUtil : <*> : Committed,['attempt_201706101511_0244_m_000017_4897']
25,INFO executor.Executor : Running task 1.0 in stage 245.0 ( TID 4900 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['1.0', '245.0', '4900']"
26,INFO executor.Executor : Running task 3.0 in stage 245.0 ( TID 4902 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['3.0', '245.0', '4902']"
27,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 4908,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 4908']"
28,INFO executor.Executor : Finished task 27.0 in stage 457.0 ( TID 18586 ) . 2364 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['27.0', '457.0', '18586', '2364']"
29,INFO output.FileOutputCommitter : Saved output of task 'attempt_201706092035_0457_m_000029_18589' to hdfs : //10.10.34.11 : 9000/pjhe/test/13/_temporary/0/task_201706092035_0457_m_000029,2df1e001,INFO output.FileOutputCommitter : Saved output of task <*> to hdfs : //10.10.34.11 : <*>,"[""'attempt_201706092035_0457_m_000029_18589'"", '9000/pjhe/test/13/_temporary/0/task_201706092035_0457_m_000029']"
30,INFO executor.Executor : Finished task 29.0 in stage 457.0 ( TID 18589 ) . 2364 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['29.0', '457.0', '18589', '2364']"
31,INFO executor.Executor : Running task 2.0 in stage 458.0 ( TID 18600 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['2.0', '458.0', '18600']"
32,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 18612,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 18612']"
33,INFO broadcast.TorrentBroadcast : Started reading broadcast variable 471,031bd3b1,INFO broadcast.TorrentBroadcast : Started reading broadcast variable <*>,['471']
34,INFO executor.Executor : Finished task 12.0 in stage 1459.0 ( TID 58653 ) . 2667 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['12.0', '1459.0', '58653', '2667']"
35,INFO executor.Executor : Finished task 6.0 in stage 1459.0 ( TID 58647 ) . 2667 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['6.0', '1459.0', '58647', '2667']"
36,INFO storage.BlockManager : Found block rdd_2289_28 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2289_28']
37,"INFO storage.MemoryStore : Block rdd_2316_25 stored as bytes in memory ( estimated size 16.0 B , free 6.7 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['rdd_2316_25', 'bytes', '16.0 B', '6.7 MB']"
38,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 1041,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 1041']"
39,INFO executor.Executor : Running task 4.0 in stage 26.0 ( TID 1044 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['4.0', '26.0', '1044']"
40,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 1050,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 1050']"
41,INFO broadcast.TorrentBroadcast : Started reading broadcast variable 35,031bd3b1,INFO broadcast.TorrentBroadcast : Started reading broadcast variable <*>,['35']
42,"INFO storage.MemoryStore : Block broadcast_35_piece0 stored as bytes in memory ( estimated size 5.5 KB , free 408.9 KB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_35_piece0', 'bytes', '5.5 KB', '408.9 KB']"
43,INFO executor.Executor : Running task 32.0 in stage 673.0 ( TID 27232 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['32.0', '673.0', '27232']"
44,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 27233,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 27233']"
45,INFO storage.BlockManager : Found block rdd_781_34 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_781_34']
46,INFO storage.BlockManager : Found block rdd_781_33 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_781_33']
47,"INFO python.PythonRunner : Times : total = 39 , boot = 13 , init = 26 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['39', '13', '26', '0']"
48,"INFO python.PythonRunner : Times : total = 40 , boot = 13 , init = 27 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '13', '27', '0']"
49,"INFO storage.MemoryStore : Block rdd_1008_30 stored as bytes in memory ( estimated size 16.0 B , free 3.5 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['rdd_1008_30', 'bytes', '16.0 B', '3.5 MB']"
50,"INFO python.PythonRunner : Times : total = 40 , boot = 19 , init = 21 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '19', '21', '0']"
51,"INFO python.PythonRunner : Times : total = 40 , boot = 19 , init = 21 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '19', '21', '0']"
52,"INFO python.PythonRunner : Times : total = 38 , boot = 16 , init = 22 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['38', '16', '22', '0']"
53,"INFO python.PythonRunner : Times : total = 38 , boot = 16 , init = 22 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['38', '16', '22', '0']"
54,"INFO python.PythonRunner : Times : total = 38 , boot = 21 , init = 17 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['38', '21', '17', '0']"
55,INFO executor.Executor : Finished task 2.0 in stage 1359.0 ( TID 54642 ) . 2667 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['2.0', '1359.0', '54642', '2667']"
56,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 54657,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 54657']"
57,INFO executor.Executor : Running task 18.0 in stage 1359.0 ( TID 54659 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['18.0', '1359.0', '54659']"
58,INFO executor.Executor : Running task 14.0 in stage 2044.0 ( TID 82053 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['14.0', '2044.0', '82053']"
59,INFO broadcast.TorrentBroadcast : Reading broadcast variable 2071 took 2 ms,9f858d60,INFO broadcast.TorrentBroadcast : Reading broadcast variable <*> took <*> ms,"['2071', '2']"
60,INFO storage.BlockManager : Found block rdd_3047_11 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_3047_11']
61,INFO storage.BlockManager : Found block rdd_3047_8 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_3047_8']
62,INFO storage.BlockManager : Found block rdd_545_21 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_545_21']
63,INFO storage.BlockManager : Found block rdd_545_23 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_545_23']
64,INFO executor.Executor : Finished task 23.0 in stage 368.0 ( TID 15026 ) . 2076 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['23.0', '368.0', '15026', '2076']"
65,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 15036,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 15036']"
66,INFO executor.Executor : Running task 36.0 in stage 1053.0 ( TID 42436 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['36.0', '1053.0', '42436']"
67,INFO executor.Executor : Finished task 20.0 in stage 1738.0 ( TID 69818 ) . 2667 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['20.0', '1738.0', '69818', '2667']"
68,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 69835,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 69835']"
69,"INFO python.PythonRunner : Times : total = 36 , boot = 20 , init = 16 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['36', '20', '16', '0']"
70,INFO executor.Executor : Finished task 22.0 in stage 1738.0 ( TID 69823 ) . 2667 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['22.0', '1738.0', '69823', '2667']"
71,INFO storage.BlockManager : Found block rdd_2668_35 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2668_35']
72,INFO executor.Executor : Running task 38.0 in stage 1738.0 ( TID 69838 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['38.0', '1738.0', '69838']"
73,INFO executor.Executor : Finished task 11.0 in stage 5.0 ( TID 211 ) . 2076 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['11.0', '5.0', '211', '2076']"
74,INFO executor.Executor : Running task 15.0 in stage 5.0 ( TID 215 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['15.0', '5.0', '215']"
75,"INFO python.PythonRunner : Times : total = 40 , boot = -184 , init = 224 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-184', '224', '0']"
76,"INFO python.PythonRunner : Times : total = 39 , boot = -185 , init = 224 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['39', '-185', '224', '0']"
77,"INFO python.PythonRunner : Times : total = 41 , boot = -187 , init = 228 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['41', '-187', '228', '0']"
78,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,22ee3858,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,[]
79,INFO output.FileOutputCommitter : Saved output of task 'attempt_201706081706_0271_m_000002_10842' to hdfs : //10.10.34.11 : 9000/pjhe/test/2/_temporary/0/task_201706081706_0271_m_000002,2df1e001,INFO output.FileOutputCommitter : Saved output of task <*> to hdfs : //10.10.34.11 : <*>,"[""'attempt_201706081706_0271_m_000002_10842'"", '9000/pjhe/test/2/_temporary/0/task_201706081706_0271_m_000002']"
80,INFO mapred.SparkHadoopMapRedUtil : attempt_201706081706_0271_m_000002_10842 : Committed,04bf5c3e,INFO mapred.SparkHadoopMapRedUtil : <*> : Committed,['attempt_201706081706_0271_m_000002_10842']
81,INFO storage.BlockManager : Found block rdd_2_26 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2_26']
82,INFO storage.BlockManager : Found block rdd_2_29 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2_29']
83,"INFO python.PythonRunner : Times : total = 39 , boot = 8 , init = 31 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['39', '8', '31', '0']"
84,"INFO python.PythonRunner : Times : total = 41 , boot = 10 , init = 31 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['41', '10', '31', '0']"
85,"INFO storage.MemoryStore : Block rdd_7_28 stored as bytes in memory ( estimated size 16.0 B , free 403.6 KB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['rdd_7_28', 'bytes', '16.0 B', '403.6 KB']"
86,"INFO spark.CacheManager : Partition rdd_7_35 not found , computing it",d6733a81,"INFO spark.CacheManager : Partition <*> not found , computing it",['rdd_7_35']
87,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 20195,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 20195']"
88,INFO executor.Executor : Running task 35.0 in stage 504.0 ( TID 20196 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['35.0', '504.0', '20196']"
89,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 20198,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 20198']"
90,"INFO spark.CacheManager : Partition rdd_823_38 not found , computing it",d6733a81,"INFO spark.CacheManager : Partition <*> not found , computing it",['rdd_823_38']
91,"INFO spark.CacheManager : Partition rdd_823_37 not found , computing it",d6733a81,"INFO spark.CacheManager : Partition <*> not found , computing it",['rdd_823_37']
92,INFO output.FileOutputCommitter : Saved output of task 'attempt_201706091709_0825_m_000039_33035' to hdfs : //10.10.34.11 : 9000/pjhe/test/11/_temporary/0/task_201706091709_0825_m_000039,2df1e001,INFO output.FileOutputCommitter : Saved output of task <*> to hdfs : //10.10.34.11 : <*>,"[""'attempt_201706091709_0825_m_000039_33035'"", '9000/pjhe/test/11/_temporary/0/task_201706091709_0825_m_000039']"
93,INFO mapred.SparkHadoopMapRedUtil : attempt_201706091723_2575_m_000679_107991 : Committed,04bf5c3e,INFO mapred.SparkHadoopMapRedUtil : <*> : Committed,['attempt_201706091723_2575_m_000679_107991']
94,INFO executor.Executor : Running task 719.0 in stage 2575.0 ( TID 108034 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['719.0', '2575.0', '108034']"
95,INFO executor.Executor : Running task 735.0 in stage 2575.0 ( TID 108042 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['735.0', '2575.0', '108042']"
96,INFO storage.BlockManager : Found block rdd_147_5 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_147_5']
97,INFO storage.BlockManager : Found block rdd_147_37 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_147_37']
98,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,22ee3858,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,[]
99,"INFO python.PythonRunner : Times : total = 40 , boot = -171 , init = 211 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-171', '211', '0']"
100,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,22ee3858,INFO output.FileOutputCommitter : File Output Committer Algorithm version is 1,[]
101,INFO executor.Executor : Finished task 45.0 in stage 2178.0 ( TID 90720 ) . 2364 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['45.0', '2178.0', '90720', '2364']"
102,INFO executor.CoarseGrainedExecutorBackend : Got assigned task 90763,d8ba5289,INFO executor.CoarseGrainedExecutorBackend : <*> <*> <*> <*>,"['Got', 'assigned task 90763']"
103,INFO executor.Executor : Running task 13.0 in stage 2179.0 ( TID 90771 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['13.0', '2179.0', '90771']"
104,INFO broadcast.TorrentBroadcast : Reading broadcast variable 115 took 6 ms,9f858d60,INFO broadcast.TorrentBroadcast : Reading broadcast variable <*> took <*> ms,"['115', '6']"
105,INFO storage.BlockManager : Found block rdd_2_39 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2_39']
106,INFO storage.BlockManager : Found block rdd_2_31 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2_31']
107,"INFO python.PythonRunner : Times : total = 42 , boot = -26 , init = 67 , finish = 1",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['42', '-26', '67', '1']"
108,INFO broadcast.TorrentBroadcast : Started reading broadcast variable 1950,031bd3b1,INFO broadcast.TorrentBroadcast : Started reading broadcast variable <*>,['1950']
109,"INFO storage.MemoryStore : Block broadcast_1950 stored as values in memory ( estimated size 10.3 KB , free 6.4 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_1950', 'values', '10.3 KB', '6.4 MB']"
110,INFO storage.BlockManager : Found block rdd_2874_36 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_2874_36']
111,"INFO python.PythonRunner : Times : total = 37 , boot = -23 , init = 60 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['37', '-23', '60', '0']"
112,"INFO storage.MemoryStore : Block rdd_3086_28 stored as bytes in memory ( estimated size 164.0 B , free 6.4 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['rdd_3086_28', 'bytes', '164.0 B', '6.4 MB']"
113,"INFO python.PythonRunner : Times : total = 40 , boot = -26 , init = 66 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-26', '66', '0']"
114,"INFO python.PythonRunner : Times : total = 39 , boot = -17 , init = 56 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['39', '-17', '56', '0']"
115,INFO executor.Executor : Finished task 39.0 in stage 3715.0 ( TID 159158 ) . 2076 bytes result sent to driver,263f448d,INFO executor.Executor : Finished task <*> in stage <*> ( TID <*> ) . <*> bytes result sent to driver,"['39.0', '3715.0', '159158', '2076']"
116,"INFO python.PythonRunner : Times : total = 40 , boot = 1 , init = 39 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '1', '39', '0']"
117,INFO executor.Executor : Running task 30.0 in stage 3716.0 ( TID 159194 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['30.0', '3716.0', '159194']"
118,"INFO python.PythonRunner : Times : total = 40 , boot = -139 , init = 179 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-139', '179', '0']"
119,"INFO python.PythonRunner : Times : total = 54 , boot = -139 , init = 193 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['54', '-139', '193', '0']"
120,"INFO python.PythonRunner : Times : total = 38 , boot = -28 , init = 66 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['38', '-28', '66', '0']"
121,"INFO python.PythonRunner : Times : total = 38 , boot = 25 , init = 13 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['38', '25', '13', '0']"
122,"INFO python.PythonRunner : Times : total = 40 , boot = -143 , init = 183 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-143', '183', '0']"
123,INFO mapred.SparkHadoopMapRedUtil : attempt_201706091709_0816_m_000005_32645 : Committed,04bf5c3e,INFO mapred.SparkHadoopMapRedUtil : <*> : Committed,['attempt_201706091709_0816_m_000005_32645']
124,"INFO python.PythonRunner : Times : total = 40 , boot = -144 , init = 184 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-144', '184', '0']"
125,INFO output.FileOutputCommitter : Saved output of task 'attempt_201706091709_0816_m_000029_32669' to hdfs : //10.10.34.11 : 9000/pjhe/test/2/_temporary/0/task_201706091709_0816_m_000029,2df1e001,INFO output.FileOutputCommitter : Saved output of task <*> to hdfs : //10.10.34.11 : <*>,"[""'attempt_201706091709_0816_m_000029_32669'"", '9000/pjhe/test/2/_temporary/0/task_201706091709_0816_m_000029']"
126,INFO mapred.SparkHadoopMapRedUtil : attempt_201706091709_0816_m_000029_32669 : Committed,04bf5c3e,INFO mapred.SparkHadoopMapRedUtil : <*> : Committed,['attempt_201706091709_0816_m_000029_32669']
127,INFO executor.Executor : Running task 308.0 in stage 2575.0 ( TID 107668 ),0c6a8ef5,INFO executor.Executor : Running task <*> in stage <*> ( TID <*> ),"['308.0', '2575.0', '107668']"
128,INFO storage.BlockManager : Found block rdd_3558_20 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_3558_20']
129,"INFO python.PythonRunner : Times : total = 40 , boot = -2 , init = 42 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-2', '42', '0']"
130,"INFO python.PythonRunner : Times : total = 40 , boot = -8 , init = 48 , finish = 0",4d8cddef,"INFO python.PythonRunner : Times : total = <*> , boot = <*> , init = <*> , finish = <*>","['40', '-8', '48', '0']"
131,INFO storage.BlockManager : Found block rdd_3558_28 locally,cf646f32,INFO storage.BlockManager : Found block <*> locally,['rdd_3558_28']
132,"INFO MemoryStore : Block broadcast_6_piece273 stored as bytes in memory ( estimated size 4.0 MB , free 3.8 GB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_6_piece273', '3.8 GB']"
133,"INFO BlockManagerInfo : Added broadcast_6_piece273 in memory on 10.10.34.23 : 46496 ( size : 4.0 MB , free : 32.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_6_piece273', '10.10.34.23', '46496', '4.0', '32.6']"
134,"INFO BlockManagerInfo : Added broadcast_6_piece274 in memory on 10.10.34.23 : 46496 ( size : 4.0 MB , free : 32.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_6_piece274', '10.10.34.23', '46496', '4.0', '32.6']"
